,Seller Name,Seller type,BHK,Location,Total Price,price per sqft,Area_sqft,Construction status
0,Lalitha Construction and Developers,BUILDER,3 BHK Apartment,"Ameenpur, Hyderabad", 75.21 L,"4,900 ",1535 ,Under Construction
1,Eco Green Builders,BUILDER,3 BHK Apartment,"Gundlapochampally, Hyderabad", 65.98 L,"4,200 ",1571 ,Under Construction
2,Sunder Homes,BUILDER,3 BHK Apartment,"Kompally, Hyderabad", 2.09 Cr,"5,500 ",3810 ,Under Construction
3,Nest Makers,BUILDER,3 BHK Villa,"Harshaguda, Hyderabad", 3.31 Cr,"8,275 ",4000 ,Under Construction
4,GHR Infra,BUILDER,3 BHK Apartment,"Kollur, Hyderabad", 94.94 L,"5,349 ",1775 ,Under Construction
5,Dinesh Projects,BUILDER,2 BHK Apartment,"Bachupally, Hyderabad", 56.49 L,"4,803 ",1177 ,Under Construction
6,Namishree Infrastructure And Project Pvt Ltd,BUILDER,3 BHK Apartment,"Saidabad, Hyderabad", 1.08 Cr,"6,000 ",1800 ,Under Construction
7,Vazhraa Nirmaan Pvt Ltd,BUILDER,3 BHK Apartment,"Nizampet, Hyderabad", 1.19 Cr,"6,500 ",1835 ,Under Construction
8,Ira Reality,BUILDER,2 BHK Apartment,"Kollur, Hyderabad", 64.72 L,"4,998 ",1295 ,Under Construction
9,Sukhii Group,BUILDER,3 BHK Apartment,"Nanakramguda, Hyderabad", 1.44 Cr,"7,599 ",1905 ,Under Construction
10,Merlion Builders,BUILDER,3 BHK Apartment,"Nizampet, Hyderabad", 86.81 L,"5,600 ",1551 ,Under Construction
11,Hallmark Builders,BUILDER,3 BHK Apartment,"Patighanpur, Hyderabad", 1.03 Cr,"5,501 ",1885 ,Under Construction
12,G square Housing,BUILDER,Residential Plot,"BN Reddy nagar, Hyderabad", 2.52 Cr,"8,009 ",3150 ,New
13,My Home Constructions Pvt Ltd,BUILDER,2 BHK Apartment,"Tellapur, Hyderabad", 1.2 Cr,"8,856 ",1355 ,Under Construction
14,Shree Vasavi Developers,BUILDER,3 BHK Apartment,"Attapur, Hyderabad", 1.38 Cr,"6,899 ",2005 ,Under Construction
15,Vajra Builders And Developers,BUILDER,4 BHK Villa,"Bachupally, Hyderabad", 1.61 Cr,"7,000 ",2300 ,Ready to move
16,Vasavi Group,BUILDER,3 BHK Apartment,"Kukatpally, Hyderabad", 1.82 Cr,"8,000 ",2285 ,Ready to move
17,Riddhi Group,BUILDER,3 BHK Apartment,"Jeedimetla, Hyderabad", 1.06 Cr,"5,800 ",1840 ,Under Construction
18,Theme Ambience Infrastructures,BUILDER,3 BHK Apartment,"Attapur, Hyderabad", 1.42 Cr,"6,800 ",2090 ,Under Construction
19,Signature Avenues,BUILDER,3 BHK Apartment,"Kollur, Hyderabad", 94.98 L,"4,999 ",1900 ,Under Construction
20,Srija Infra Developers Hyderabad,BUILDER,2 BHK Apartment,"Dammaiguda, Hyderabad", 50.01 L,"4,800 ",1042 ,Under Construction
21,Cyber City Oriana,BUILDER,3 BHK Apartment,"Kukatpally, Hyderabad", 2.2 Cr,"9,909 ",2220 ,Under Construction
22,Primark Projects Pvt Ltd,BUILDER,3 BHK Apartment,"Kompally, Hyderabad", 97.97 L,"4,699 ",2085 ,Under Construction
23,Om Sree Builders And Developers,BUILDER,3 BHK Apartment,"Sainikpuri, Hyderabad", 1.34 Cr,"6,100 ",2200 ,Under Construction
24,GSR Group,BUILDER,3 BHK Apartment,"Kollur, Hyderabad", 82.22 L,"3,499 ",2350 ,Under Construction
25,EAPL Group,BUILDER,3 BHK Apartment,"Mallapur, Hyderabad", 1.09 Cr,"4,999 ",2187 ,Under Construction
26,Lalitha Construction and Developers,BUILDER,3 BHK Apartment,"Ameenpur, Hyderabad", 71.05 L,"4,900 ",1450 ,Under Construction
27,Eco Green Builders,BUILDER,3 BHK Apartment,"Gundlapochampally, Hyderabad", 57.87 L,"4,200 ",1378 ,Under Construction
28,Sunder Homes,BUILDER,3 BHK Apartment,"Kompally, Hyderabad", 2.09 Cr,"5,500 ",3810 ,Under Construction
29,Nest Makers,BUILDER,5 BHK Villa,"Harshaguda, Hyderabad", 5.82 Cr,"9,700 ",6000 ,Under Construction
30,GHR Infra,BUILDER,3 BHK Apartment,"Kollur, Hyderabad", 94.94 L,"5,349 ",1775 ,Under Construction
31,Dinesh Projects,BUILDER,2 BHK Apartment,"Bachupally, Hyderabad", 56.49 L,"4,803 ",1177 ,Under Construction
32,Namishree Infrastructure And Project Pvt Ltd,BUILDER,3 BHK Apartment,"Saidabad, Hyderabad", 78.3 L,"6,000 ",1305 ,Under Construction
33,Vazhraa Nirmaan Pvt Ltd,BUILDER,3 BHK Apartment,"Nizampet, Hyderabad", 1.19 Cr,"6,500 ",1835 ,Under Construction
34,Ira Reality,BUILDER,2 BHK Apartment,"Kollur, Hyderabad", 64.72 L,"4,998 ",1295 ,Under Construction
35,Sukhii Group,BUILDER,3 BHK Apartment,"Nanakramguda, Hyderabad", 1.44 Cr,"7,599 ",1905 ,Under Construction
36,Merlion Builders,BUILDER,3 BHK Apartment,"Nizampet, Hyderabad", 1.03 Cr,"5,600 ",1854 ,Under Construction
37,Hallmark Builders,BUILDER,2 BHK Apartment,"Patighanpur, Hyderabad", 70.66 L,"5,499 ",1285 ,Under Construction
38,G square Housing,BUILDER,Residential Plot,"BN Reddy nagar, Hyderabad", 1.72 Cr,"8,009 ",2160 ,New
39,My Home Constructions Pvt Ltd,BUILDER,3 BHK Apartment,"Tellapur, Hyderabad", 1.5 Cr,"7,788 ",1926 ,Under Construction
40,Shree Vasavi Developers,BUILDER,3 BHK Apartment,"Attapur, Hyderabad", 1.2 Cr,"6,899 ",1745 ,Under Construction
41,Vajra Builders And Developers,BUILDER,3 BHK Apartment,"Bowrampet, Hyderabad", 64.47 L,"4,200 ",1535 ,Under Construction
42,Vasavi Group,BUILDER,3 BHK Apartment,"Kukatpally, Hyderabad", 1.82 Cr,"8,000 ",2285 ,Ready to move
43,Riddhi Group,BUILDER,3 BHK Apartment,"Jeedimetla, Hyderabad", 87.58 L,"5,800 ",1510 ,Under Construction
44,Theme Ambience Infrastructures,BUILDER,4 BHK Apartment,"Attapur, Hyderabad", 1.8 Cr,"6,800 ",2655 ,Under Construction
45,Signature Avenues,BUILDER,3 BHK Apartment,"Kollur, Hyderabad", 1.21 Cr,"4,999 ",2425 ,Under Construction
46,Srija Infra Developers Hyderabad,BUILDER,2 BHK Apartment,"Dammaiguda, Hyderabad", 54.67 L,"4,800 ",1139 ,Under Construction
47,Cyber City Oriana,BUILDER,2 BHK Apartment,"Kukatpally, Hyderabad", 1.35 Cr,"9,310 ",1450 ,Under Construction
48,Primark Projects Pvt Ltd,BUILDER,3 BHK Apartment,"Kompally, Hyderabad", 71.18 L,"4,699 ",1515 ,Under Construction
49,Om Sree Builders And Developers,BUILDER,3 BHK Apartment,"Sainikpuri, Hyderabad", 1.33 Cr,"6,100 ",2195 ,Under Construction
50,GSR Group,BUILDER,3 BHK Apartment,"Kollur, Hyderabad", 69.98 L,"3,499 ",2000 ,Under Construction
51,EAPL Group,BUILDER,3 BHK Apartment,"Mallapur, Hyderabad", 1.09 Cr,"4,999 ",2187 ,Under Construction
52,Lalitha Construction and Developers,BUILDER,2 BHK Apartment,"Ameenpur, Hyderabad", 54.14 L,"4,900 ",1105 ,Under Construction
53,Eco Green Builders,BUILDER,2 BHK Apartment,"Gundlapochampally, Hyderabad", 46.87 L,"4,200 ",1116 ,Under Construction
54,Sunder Homes,BUILDER,3 BHK Apartment,"Kompally, Hyderabad", 1.18 Cr,"5,500 ",2160 ,Under Construction
55,Nest Makers,BUILDER,5 BHK Villa,"Harshaguda, Hyderabad", 9.3 Cr,"10,334 ",9000 ,Under Construction
56,GHR Infra,BUILDER,2 BHK Apartment,"Kollur, Hyderabad", 69.26 L,"5,349 ",1295 ,Under Construction
57,Dinesh Projects,BUILDER,2 BHK Apartment,"Bachupally, Hyderabad", 49.86 L,"4,804 ",1039 ,Under Construction
58,Namishree Infrastructure And Project Pvt Ltd,BUILDER,3 BHK Apartment,"Saidabad, Hyderabad", 1.02 Cr,"6,000 ",1705 ,Under Construction
59,Vazhraa Nirmaan Pvt Ltd,BUILDER,3 BHK Apartment,"Nizampet, Hyderabad", 1.21 Cr,"6,500 ",1870 ,Under Construction
60,Ira Reality,BUILDER,3 BHK Apartment,"Kollur, Hyderabad", 79.71 L,"4,998 ",1595 ,Under Construction
61,Sukhii Group,BUILDER,3 BHK Apartment,"Nanakramguda, Hyderabad", 1.29 Cr,"7,599 ",1710 ,Under Construction
62,Merlion Builders,BUILDER,3 BHK Apartment,"Nizampet, Hyderabad", 97.7 L,"5,599 ",1745 ,Under Construction
63,Hallmark Builders,BUILDER,3 BHK Apartment,"Patighanpur, Hyderabad", 1.03 Cr,"5,501 ",1885 ,Under Construction
64,G square Housing,BUILDER,Residential Plot,"BN Reddy nagar, Hyderabad", 1.92 Cr,"8,009 ",2400 ,New
65,My Home Constructions Pvt Ltd,BUILDER,2 BHK Apartment,"Tellapur, Hyderabad", 1.3 Cr,"8,264 ",1573 ,Under Construction
66,Shree Vasavi Developers,BUILDER,3 BHK Apartment,"Attapur, Hyderabad", 1.68 Cr,"6,899 ",2440 ,Under Construction
67,Vajra Builders And Developers,BUILDER,2 BHK Apartment,"Bowrampet, Hyderabad", 53.55 L,"4,200 ",1275 ,Under Construction
68,Vasavi Group,BUILDER,3 BHK Apartment,"Kukatpally, Hyderabad", 2.26 Cr,"8,000 ",2830 ,Ready to move
69,Riddhi Group,BUILDER,3 BHK Apartment,"Jeedimetla, Hyderabad", 1.14 Cr,"5,800 ",1975 ,Under Construction
70,Theme Ambience Infrastructures,BUILDER,3 BHK Apartment,"Attapur, Hyderabad", 1.47 Cr,"6,800 ",2170 ,Under Construction
71,Signature Avenues,BUILDER,2 BHK Apartment,"Kollur, Hyderabad", 69.23 L,"4,999 ",1385 ,Under Construction
72,Srija Infra Developers Hyderabad,BUILDER,2 BHK Apartment,"Dammaiguda, Hyderabad", 53.8 L,"4,800 ",1121 ,Under Construction
73,Cyber City Oriana,BUILDER,3 BHK Apartment,"Kukatpally, Hyderabad", 1.6 Cr,"10,322 ",1550 ,Under Construction
74,Primark Projects Pvt Ltd,BUILDER,2 BHK Apartment,"Kompally, Hyderabad", 57.56 L,"4,699 ",1225 ,Under Construction
75,Om Sree Builders And Developers,BUILDER,3 BHK Apartment,"Sainikpuri, Hyderabad", 1.29 Cr,"6,100 ",2130 ,Under Construction
76,GSR Group,BUILDER,2 BHK Apartment,"Kollur, Hyderabad", 44.61 L,"3,499 ",1275 ,Under Construction
77,EAPL Group,BUILDER,2 BHK Apartment,"Mallapur, Hyderabad", 50.83 L,"5,003 ",1017 ,Under Construction
78,Alekya Infraa Developers,AGENT,Residential Plot,"Sadashivpet, Hyderabad", 39.76 L,"1,444 ",2754 ,New
79,Maaruthi Group,AGENT,3 BHK Villa,"Bachupally, Hyderabad", 1.68 Cr,"7,067 ",2377 ,Under Construction
80,seller,VERIFIED OWNER,2 BHK Apartment,"Shamirpet, Hyderabad", 31 L,"2,583 ",1200 ,Under Construction
81,seller,VERIFIED OWNER,2 BHK Apartment,"Nagole, Hyderabad", 50 L,"4,545 ",1100 ,Ready to move
82,seller,VERIFIED OWNER,2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad", 58 L,"4,715 ",1230 ,Ready to move
83,seller,VERIFIED OWNER,1 BHK Apartment,"Nanakramguda, Hyderabad", 99 L,"7,081 ",1398 ,Ready to move
84,seller,VERIFIED OWNER,10 BHK Independent House,"Meerpet, Hyderabad", 3.5 Cr,"5,717 ",6122 ,Ready to move
85,seller,VERIFIED OWNER,3 BHK Independent House,"Bahadurpura, Hyderabad", 85 L,"8,664 ",981 ,Ready to move
86,seller,VERIFIED OWNER,2 BHK Apartment,"LB Nagar, Hyderabad", 49 L,"4,900 ",1000 ,Ready to move
87,seller,VERIFIED OWNER,2 BHK Apartment,"Bachupally, Hyderabad", 59.69 L,"5,200 ",1148 ,Under Construction
88,seller,VERIFIED OWNER,4 BHK Apartment,"Upparpally, Hyderabad", 90 L,"4,500 ",2000 ,Under Construction
89,seller,VERIFIED OWNER,3 BHK Apartment,"Gajulramaram Kukatpally, Hyderabad", 84 L,"5,250 ",1600 ,Ready to move
90,seller,VERIFIED OWNER,2 BHK Apartment,"Boduppal, Hyderabad", 60 L,"5,240 ",1145 ,Ready to move
91,seller,VERIFIED OWNER,2 BHK Apartment,"Hafeezpet, Hyderabad", 69.54 L,"5,700 ",1220 ,Under Construction
92,seller,VERIFIED OWNER,3 BHK Independent House,"Aminpur, Hyderabad", 1.45 Cr,"6,041 ",2400 ,Under Construction
93,seller,VERIFIED OWNER,3 BHK Apartment,"Narapally, Hyderabad", 48.5 L,"4,008 ",1210 ,Under Construction
94,seller,VERIFIED OWNER,4 BHK Villa,"Tukkuguda, Hyderabad", 1.69 Cr,"6,500 ",2600 ,Under Construction
95,seller,VERIFIED OWNER,4 BHK Villa,"Mokila, Hyderabad", 2.1 Cr,"5,570 ",3770 ,Under Construction
96,seller,VERIFIED OWNER,2 BHK Apartment,"Medchal, Hyderabad", 45 L,"3,237 ",1390 ,Under Construction
97,seller,VERIFIED OWNER,2 BHK Apartment,"Bachupally, Hyderabad", 46.55 L,"3,800 ",1225 ,Under Construction
98,seller,VERIFIED OWNER,3 BHK Villa,"Ibrahimpatnam, Hyderabad", 64.5 L,"3,794 ",1700 ,Under Construction
99,seller,VERIFIED OWNER,2 BHK Apartment,"Narsingi, Hyderabad", 66 L,"5,500 ",1200 ,Under Construction
100,Lalitha Construction and Developers,BUILDER,2 BHK Apartment,"Ameenpur, Hyderabad", 58.8 L,"4,900 ",1200 ,Under Construction
101,Eco Green Builders,BUILDER,3 BHK Apartment,"Gundlapochampally, Hyderabad", 62.41 L,"4,200 ",1486 ,Under Construction
102,Eco Green Builders,BUILDER,3 BHK Apartment,"Gundlapochampally, Hyderabad", 66.94 L,"4,200 ",1594 ,Under Construction
103,Sunder Homes,BUILDER,3 BHK Apartment,"Kompally, Hyderabad", 1.18 Cr,"5,500 ",2160 ,Under Construction
104,Sunder Homes,BUILDER,3 BHK Apartment,"Kompally, Hyderabad", 2.09 Cr,"5,500 ",3810 ,Under Construction
